Prompt: E = 4.29288, Q = 8808.75, Time = 2025-08-30 03:06:38.6
Delayed: E = 2.17457, Q = 4743.25, Time = 2025-09-29 17:29:05.0
Prompt: E = 3.84165, Q = 7627.88, Time = 2025-09-29 17:58:08.2
Delayed: E = 2.19943, Q = 4484.58, Time = 2025-09-29 17:58:08.2
Prompt: E = 1.68717, Q = 3613.52, Time = 2025-09-29 18:12:22.8
Delayed: E = 2.35247, Q = 4741.83, Time = 2025-09-29 18:12:22.8
Prompt: E = 4.81852, Q = 9557.61, Time = 2025-09-29 21:31:26.6
Delayed: E = 2.19924, Q = 4762.57, Time = 2025-09-29 21:31:26.6
Prompt: E = 5.10858, Q = 10611.1, Time = 2025-09-29 21:49:28.6
Delayed: E = 2.29299, Q = 4954.65, Time = 2025-09-29 21:49:28.6
Prompt: E = 4.55146, Q = 8816.92, Time = 2025-09-29 21:52:49.2
Delayed: E = 2.29781, Q = 4708.29, Time = 2025-09-29 21:52:49.2
Prompt: E = 4.60915, Q = 9189.63, Time = 2025-09-29 23:07:31.0
Delayed: E = 2.32449, Q = 4827.04, Time = 2025-09-29 23:07:31.0
Prompt: E = 1.54169, Q = 3424.92, Time = 2025-09-29 23:40:16.0
Delayed: E = 2.23626, Q = 5046.62, Time = 2025-09-29 23:40:16.0
Prompt: E = 1.48575, Q = 3335.78, Time = 2025-09-30 00:04:35.3
Delayed: E = 2.23191, Q = 4697.04, Time = 2025-09-30 00:04:35.3
Prompt: E = 0.901705, Q = 2086.37, Time = 2025-09-30 00:10:22.7
Delayed: E = 2.23242, Q = 4778.52, Time = 2025-09-30 00:10:22.7
Prompt: E = 4.0381, Q = 8643.47, Time = 2025-09-30 00:37:43.3
Delayed: E = 2.25953, Q = 4867.18, Time = 2025-09-30 00:37:43.3
Prompt: E = 1.8859, Q = 4176.72, Time = 2025-09-30 00:52:56.6
Delayed: E = 2.24918, Q = 4951.78, Time = 2025-09-30 00:52:56.6
Prompt: E = 2.53666, Q = 5279.68, Time = 2025-09-30 01:24:44.8
Delayed: E = 2.29512, Q = 4770.48, Time = 2025-09-30 01:24:44.8
Prompt: E = 1.87384, Q = 4124.84, Time = 2025-09-30 02:06:03.0
Delayed: E = 2.37306, Q = 5190.35, Time = 2025-09-30 02:06:03.0
Prompt: E = 3.87633, Q = 8052.2, Time = 2025-09-30 02:06:32.6
Delayed: E = 2.27195, Q = 4898.29, Time = 2025-09-30 02:06:32.6
Prompt: E = 2.41845, Q = 5407.35, Time = 2025-09-30 03:21:17.5
Delayed: E = 2.14975, Q = 4769.64, Time = 2025-09-30 03:21:17.5
Prompt: E = 4.0831, Q = 8027.82, Time = 2025-09-30 03:27:14.4
Delayed: E = 2.26944, Q = 4824.77, Time = 2025-09-30 03:27:14.4
Prompt: E = 8.74562, Q = 17984.5, Time = 2025-09-30 07:54:28.0
Delayed: E = 2.22662, Q = 4796.81, Time = 2025-09-30 07:54:28.0
Prompt: E = 3.59819, Q = 7606.85, Time = 2025-09-30 10:26:15.4
Delayed: E = 2.24257, Q = 4848.29, Time = 2025-09-30 10:26:15.4
Prompt: E = 7.3866, Q = 15285.8, Time = 2025-09-30 10:49:46.2
Delayed: E = 2.19553, Q = 4851.8, Time = 2025-09-30 10:49:46.2
Prompt: E = 5.29251, Q = 10522.8, Time = 2025-09-30 12:40:23.2
Delayed: E = 2.14097, Q = 4375.54, Time = 2025-09-30 12:40:23.2
Prompt: E = 6.76551, Q = 14125.4, Time = 2025-09-30 13:05:13.3
Delayed: E = 2.36111, Q = 5135.17, Time = 2025-09-30 13:05:13.3
Prompt: E = 2.58982, Q = 5316.04, Time = 2025-09-30 13:54:50.8
Delayed: E = 2.22921, Q = 4692.58, Time = 2025-09-30 13:54:50.8
Prompt: E = 3.5739, Q = 7545.69, Time = 2025-09-30 14:18:22.6
Delayed: E = 2.25222, Q = 4893.43, Time = 2025-09-30 14:18:22.6
Prompt: E = 6.30742, Q = 13065, Time = 2025-09-30 14:34:47.1
Delayed: E = 2.16876, Q = 4737.98, Time = 2025-09-30 14:34:47.1
Prompt: E = 5.02214, Q = 9786.44, Time = 2025-09-30 14:57:21.5
Delayed: E = 2.24541, Q = 4631.25, Time = 2025-09-30 14:57:21.5
Prompt: E = 4.18519, Q = 8608.7, Time = 2025-09-30 15:17:39.9
Delayed: E = 2.23205, Q = 4754.9, Time = 2025-09-30 15:17:39.9
Prompt: E = 5.51698, Q = 10623.2, Time = 2025-09-30 15:30:56.9
Delayed: E = 2.24452, Q = 4503.44, Time = 2025-09-30 15:30:56.9
Prompt: E = 5.42175, Q = 11412.8, Time = 2025-09-30 16:24:09.6
Delayed: E = 2.32658, Q = 5066.37, Time = 2025-09-30 16:24:09.6
Prompt: E = 7.64958, Q = 15043.9, Time = 2025-09-30 17:10:57.9
Delayed: E = 2.26107, Q = 4731.29, Time = 2025-09-30 17:10:57.9
Prompt: E = 2.47164, Q = 5281.23, Time = 2025-09-30 17:41:39.5
Delayed: E = 2.17114, Q = 4589.68, Time = 2025-09-30 17:41:39.5
Prompt: E = 4.718, Q = 9378.39, Time = 2025-09-30 20:50:03.4
Delayed: E = 2.25142, Q = 4759.01, Time = 2025-09-30 20:50:03.4
Prompt: E = 1.29209, Q = 2730.68, Time = 2025-09-30 21:10:14.6
Delayed: E = 2.18707, Q = 4407.08, Time = 2025-09-30 21:10:14.6
Prompt: E = 5.08722, Q = 9666.12, Time = 2025-09-30 21:39:32.3
Delayed: E = 2.22178, Q = 4514.75, Time = 2025-09-30 21:39:32.3
Prompt: E = 6.5401, Q = 12260.2, Time = 2025-09-30 23:28:13.8
Delayed: E = 2.17137, Q = 4299.73, Time = 2025-09-30 23:28:13.8
Prompt: E = 3.44068, Q = 7023.72, Time = 2025-10-01 01:12:22.4
Delayed: E = 2.19701, Q = 4459.66, Time = 2025-10-01 01:12:22.4
Prompt: E = 1.35982, Q = 2998.69, Time = 2025-10-01 02:49:46.3
Delayed: E = 2.14647, Q = 4471.23, Time = 2025-10-01 02:49:46.3
Prompt: E = 3.99394, Q = 7988.38, Time = 2025-10-01 02:50:58.1
Delayed: E = 2.27521, Q = 4807.87, Time = 2025-10-01 02:50:58.1
Prompt: E = 8.56507, Q = 16469.1, Time = 2025-10-01 02:59:45.8
Delayed: E = 2.24418, Q = 4572.19, Time = 2025-10-01 02:59:45.8
Prompt: E = 2.99285, Q = 6082.58, Time = 2025-10-01 03:11:14.0
Delayed: E = 2.27685, Q = 4690.02, Time = 2025-10-01 03:11:14.0
Prompt: E = 4.84313, Q = 10147.6, Time = 2025-10-01 03:31:11.8
Delayed: E = 2.22359, Q = 4798.77, Time = 2025-10-01 03:31:11.8
Prompt: E = 1.83102, Q = 3854.7, Time = 2025-10-01 03:49:38.6
Delayed: E = 2.33047, Q = 4603.12, Time = 2025-10-01 03:49:38.6
Prompt: E = 8.40815, Q = 16459.2, Time = 2025-10-01 04:19:40.3
Delayed: E = 2.25813, Q = 4633.83, Time = 2025-10-01 04:19:40.3
Prompt: E = 2.72934, Q = 5637.53, Time = 2025-10-01 04:26:57.9
Delayed: E = 2.21457, Q = 4562.31, Time = 2025-10-01 04:26:57.9
Prompt: E = 6.45457, Q = 12675.2, Time = 2025-10-01 04:58:47.6
Delayed: E = 2.28211, Q = 4893.37, Time = 2025-10-01 04:58:47.6
Prompt: E = 3.48856, Q = 7494.44, Time = 2025-10-01 05:25:30.5
Delayed: E = 2.26652, Q = 5005.56, Time = 2025-10-01 05:25:30.5
Prompt: E = 3.7602, Q = 7604.4, Time = 2025-10-01 05:46:46.8
Delayed: E = 2.17571, Q = 4970.51, Time = 2025-10-01 05:46:46.8
Prompt: E = 5.76458, Q = 11794.8, Time = 2025-10-01 06:42:03.3
Delayed: E = 2.22852, Q = 4759.41, Time = 2025-10-01 06:42:03.3
Prompt: E = 4.55026, Q = 8749.79, Time = 2025-10-01 08:48:32.5
Delayed: E = 2.16319, Q = 4447.04, Time = 2025-10-01 08:48:32.5
Prompt: E = 6.26622, Q = 12334.4, Time = 2025-10-01 09:19:12.4
Delayed: E = 2.06716, Q = 4358.29, Time = 2025-10-01 09:19:12.4
Prompt: E = 5.72015, Q = 11302.2, Time = 2025-10-01 09:22:54.8
Delayed: E = 2.175, Q = 4560.13, Time = 2025-10-01 09:22:54.8
Prompt: E = 4.71171, Q = 9486, Time = 2025-10-01 09:45:13.0
Delayed: E = 2.28115, Q = 4867.73, Time = 2025-10-01 09:45:13.0
Prompt: E = 7.34825, Q = 15481.5, Time = 2025-10-01 10:07:40.3
Delayed: E = 2.32528, Q = 5080.52, Time = 2025-10-01 10:07:40.3
Prompt: E = 2.92353, Q = 5925.54, Time = 2025-10-01 10:52:47.4
Delayed: E = 2.29532, Q = 4706.63, Time = 2025-10-01 10:52:47.4
Prompt: E = 4.75625, Q = 9855.51, Time = 2025-10-01 10:59:47.4
Delayed: E = 2.27529, Q = 4889.78, Time = 2025-10-01 10:59:47.4
Prompt: E = 3.55195, Q = 7236.2, Time = 2025-10-01 11:01:27.7
Delayed: E = 2.1842, Q = 4650.76, Time = 2025-10-01 11:01:27.7
Prompt: E = 3.41996, Q = 7148.56, Time = 2025-10-01 11:31:03.9
Delayed: E = 2.17429, Q = 4808.67, Time = 2025-10-01 11:31:03.9
Prompt: E = 2.93631, Q = 6062, Time = 2025-10-01 13:13:36.9
Delayed: E = 2.22619, Q = 4588.31, Time = 2025-10-01 13:13:36.9
Prompt: E = 1.3867, Q = 2949.4, Time = 2025-10-01 13:37:36.2
Delayed: E = 2.21816, Q = 4511.25, Time = 2025-10-01 13:37:36.2
Prompt: E = 5.90683, Q = 12149.8, Time = 2025-10-01 13:49:16.8
Delayed: E = 2.24798, Q = 4722.78, Time = 2025-10-01 13:49:16.8
Prompt: E = 4.49344, Q = 8799.52, Time = 2025-10-01 14:35:34.9
Delayed: E = 2.21187, Q = 4555.38, Time = 2025-10-01 14:35:34.9
Prompt: E = 1.21976, Q = 2722.85, Time = 2025-10-01 14:39:02.9
Delayed: E = 2.14849, Q = 4413.08, Time = 2025-10-01 14:39:02.9
Prompt: E = 5.00719, Q = 10154.5, Time = 2025-10-01 14:42:10.2
Delayed: E = 2.18304, Q = 4665.84, Time = 2025-10-01 14:42:10.2
Prompt: E = 5.28378, Q = 10078.9, Time = 2025-10-01 16:34:30.8
Delayed: E = 2.32511, Q = 4668.46, Time = 2025-10-01 16:34:30.8
Prompt: E = 5.62352, Q = 11489.2, Time = 2025-10-01 16:57:18.8
Delayed: E = 2.05846, Q = 4011.38, Time = 2025-10-01 16:57:18.8
Prompt: E = 1.94244, Q = 4058.39, Time = 2025-10-01 17:18:30.3
Delayed: E = 2.10949, Q = 4376.96, Time = 2025-10-01 17:18:30.3
Prompt: E = 2.05856, Q = 4278.16, Time = 2025-10-01 20:04:38.2
Delayed: E = 2.1588, Q = 4374.91, Time = 2025-10-01 20:04:38.2
Prompt: E = 4.0435, Q = 8586.37, Time = 2025-10-01 20:35:31.5
Delayed: E = 2.3183, Q = 5092.61, Time = 2025-10-01 20:35:31.5
Prompt: E = 5.17206, Q = 10479.2, Time = 2025-10-01 21:24:07.7
Delayed: E = 2.30895, Q = 4763.79, Time = 2025-10-01 21:24:07.7
Prompt: E = 1.12611, Q = 2714.29, Time = 2025-10-01 21:49:04.6
Delayed: E = 2.28103, Q = 4993.84, Time = 2025-10-01 21:49:04.6
Prompt: E = 2.00816, Q = 4252.66, Time = 2025-10-01 22:53:02.8
Delayed: E = 2.15752, Q = 4514.4, Time = 2025-10-01 22:53:02.8
Prompt: E = 9.29378, Q = 18475, Time = 2025-10-01 23:52:14.0
Delayed: E = 2.39062, Q = 4749.2, Time = 2025-10-01 23:52:14.0
Prompt: E = 5.86991, Q = 11315.7, Time = 2025-10-01 23:59:09.6
Delayed: E = 2.06504, Q = 4139.41, Time = 2025-10-01 23:59:09.6
Prompt: E = 4.25867, Q = 8963.07, Time = 2025-10-02 00:24:46.2
Delayed: E = 2.3198, Q = 5088.26, Time = 2025-10-02 00:24:46.2
Prompt: E = 2.24547, Q = 4964.52, Time = 2025-10-02 01:15:45.9
Delayed: E = 2.23183, Q = 4911.99, Time = 2025-10-02 01:15:45.9
Prompt: E = 5.77907, Q = 12213.8, Time = 2025-10-02 02:14:15.8
Delayed: E = 2.20018, Q = 4790.7, Time = 2025-10-02 02:14:15.8
Prompt: E = 5.97534, Q = 11644.2, Time = 2025-10-02 02:39:49.1
Delayed: E = 2.20914, Q = 4658.38, Time = 2025-10-02 02:39:49.1
Prompt: E = 4.68193, Q = 9319.73, Time = 2025-10-02 03:30:52.2
Delayed: E = 2.21653, Q = 4590.36, Time = 2025-10-02 03:30:52.2
Prompt: E = 3.61225, Q = 7600.7, Time = 2025-10-02 03:48:34.9
Delayed: E = 2.24138, Q = 4856.09, Time = 2025-10-02 03:48:34.9
Prompt: E = 1.23392, Q = 3017.4, Time = 2025-10-02 04:12:38.7
Delayed: E = 2.11952, Q = 4690.49, Time = 2025-10-02 04:12:38.7
Prompt: E = 4.80589, Q = 9936.91, Time = 2025-10-02 04:14:11.3
Delayed: E = 2.21711, Q = 4714.2, Time = 2025-10-02 04:14:11.3
Prompt: E = 5.68441, Q = 11177.2, Time = 2025-10-02 04:42:15.3
Delayed: E = 2.28132, Q = 4770.8, Time = 2025-10-02 04:42:15.3
Prompt: E = 1.60304, Q = 3385.17, Time = 2025-10-02 05:32:03.1
Delayed: E = 2.26991, Q = 4652.57, Time = 2025-10-02 05:32:03.1
Prompt: E = 4.27808, Q = 8770.41, Time = 2025-10-02 07:14:16.1
Delayed: E = 2.23651, Q = 4805.33, Time = 2025-10-02 07:14:16.1
Prompt: E = 3.25175, Q = 6591.29, Time = 2025-10-02 07:48:31.0
Delayed: E = 2.12472, Q = 4742.59, Time = 2025-10-02 07:48:31.0
Prompt: E = 4.86888, Q = 9962.85, Time = 2025-10-02 07:50:09.9
Delayed: E = 2.36173, Q = 4992.57, Time = 2025-10-02 07:50:09.9
Prompt: E = 4.84788, Q = 9217.69, Time = 2025-10-02 07:52:13.9
Delayed: E = 2.30631, Q = 4768.72, Time = 2025-10-02 07:52:13.9
Prompt: E = 1.40295, Q = 3023.1, Time = 2025-10-02 09:34:00.1
Delayed: E = 2.26962, Q = 4584.86, Time = 2025-10-02 09:34:00.1
Prompt: E = 3.96116, Q = 8084.34, Time = 2025-10-02 09:47:33.0
Delayed: E = 2.36598, Q = 4898.8, Time = 2025-10-02 09:47:33.0
Prompt: E = 7.94751, Q = 16095.9, Time = 2025-10-02 09:49:11.3
Delayed: E = 2.25793, Q = 4744.25, Time = 2025-10-02 09:49:11.3
Prompt: E = 2.12197, Q = 4776.81, Time = 2025-10-02 11:14:13.2
Delayed: E = 2.19285, Q = 4848.67, Time = 2025-10-02 11:14:13.2
Prompt: E = 4.87979, Q = 10077.4, Time = 2025-10-02 12:04:09.7
Delayed: E = 2.24164, Q = 4726.25, Time = 2025-10-02 12:04:09.7
Prompt: E = 5.75779, Q = 11573.5, Time = 2025-10-02 12:22:39.7
Delayed: E = 2.25002, Q = 4818.15, Time = 2025-10-02 12:22:39.7
Prompt: E = 4.2254, Q = 8975.6, Time = 2025-10-02 12:29:23.6
Delayed: E = 2.21575, Q = 4668.88, Time = 2025-10-02 12:29:23.6
Prompt: E = 1.59445, Q = 3505.03, Time = 2025-10-02 12:31:28.7
Delayed: E = 2.29514, Q = 4562.84, Time = 2025-10-02 12:31:28.7
Prompt: E = 2.78382, Q = 5651.84, Time = 2025-10-02 13:26:39.9
Delayed: E = 2.29358, Q = 4691.99, Time = 2025-10-02 13:26:39.9
Prompt: E = 4.99609, Q = 9916.04, Time = 2025-10-02 15:36:05.1
Delayed: E = 2.28827, Q = 4848.42, Time = 2025-10-02 15:36:05.1
Prompt: E = 2.14452, Q = 4453.24, Time = 2025-10-02 18:30:38.7
Delayed: E = 2.2234, Q = 4479.37, Time = 2025-10-02 18:30:38.7
Prompt: E = 3.20229, Q = 6538.1, Time = 2025-10-02 19:19:20.2
Delayed: E = 2.17012, Q = 4403.73, Time = 2025-10-02 19:19:20.2
Prompt: E = 6.46327, Q = 13146.8, Time = 2025-10-02 20:24:14.4
Delayed: E = 2.26194, Q = 4747.8, Time = 2025-10-02 20:24:14.4
Prompt: E = 6.93833, Q = 14455.9, Time = 2025-10-02 20:27:39.4
Delayed: E = 2.24927, Q = 4596.67, Time = 2025-10-02 20:27:39.4
Prompt: E = 2.55515, Q = 5010.17, Time = 2025-10-02 21:52:00.4
Delayed: E = 2.24286, Q = 4479.23, Time = 2025-10-02 21:52:00.4
Prompt: E = 3.37969, Q = 7000.71, Time = 2025-10-02 22:46:55.6
Delayed: E = 2.24063, Q = 4769.66, Time = 2025-10-02 22:46:55.6
Prompt: E = 4.37924, Q = 8713.79, Time = 2025-10-02 23:15:56.1
Delayed: E = 2.23369, Q = 4790.75, Time = 2025-10-02 23:15:56.1
Prompt: E = 5.39138, Q = 10564.5, Time = 2025-10-03 00:39:23.4
Delayed: E = 2.19701, Q = 4563.44, Time = 2025-10-03 00:39:23.4
Prompt: E = 6.32286, Q = 12345.6, Time = 2025-10-03 02:04:47.0
Delayed: E = 2.16741, Q = 4478.35, Time = 2025-10-03 02:04:47.0
Prompt: E = 3.80015, Q = 7776.39, Time = 2025-10-03 02:15:05.4
Delayed: E = 2.22253, Q = 4621.72, Time = 2025-10-03 02:15:05.4
Prompt: E = 4.78892, Q = 9573.02, Time = 2025-10-03 03:05:20.7
Delayed: E = 2.24723, Q = 4719.35, Time = 2025-10-03 03:05:20.7
Prompt: E = 5.24832, Q = 10471.3, Time = 2025-10-03 03:38:20.8
Delayed: E = 2.27104, Q = 4747.56, Time = 2025-10-03 03:38:20.8
Prompt: E = 9.8515, Q = 18243.4, Time = 2025-10-03 05:38:13.9
Delayed: E = 2.20555, Q = 4406.23, Time = 2025-10-03 05:38:13.9
Prompt: E = 3.32809, Q = 6731.27, Time = 2025-10-03 07:26:06.9
Delayed: E = 2.15009, Q = 4413.63, Time = 2025-10-03 07:26:06.9
Prompt: E = 3.76929, Q = 7319.36, Time = 2025-10-03 07:35:45.5
Delayed: E = 2.1424, Q = 4360.91, Time = 2025-10-03 07:35:45.5
Prompt: E = 1.805, Q = 3755.55, Time = 2025-10-03 08:48:51.0
Delayed: E = 2.27546, Q = 4742.48, Time = 2025-10-03 08:48:51.0
Prompt: E = 1.55383, Q = 3389.17, Time = 2025-10-03 08:58:31.7
Delayed: E = 2.27856, Q = 4881.86, Time = 2025-10-03 08:58:31.7
Prompt: E = 1.9611, Q = 4492.78, Time = 2025-10-03 09:10:52.5
Delayed: E = 2.28813, Q = 5015.69, Time = 2025-10-03 09:10:52.5
Prompt: E = 3.45788, Q = 6828.28, Time = 2025-10-03 09:11:53.2
Delayed: E = 2.13818, Q = 4314.17, Time = 2025-10-03 09:11:53.2
Prompt: E = 1.13491, Q = 2644.63, Time = 2025-10-03 09:32:05.3
Delayed: E = 2.26855, Q = 4828.51, Time = 2025-10-03 09:32:05.3
Prompt: E = 1.21294, Q = 2673.04, Time = 2025-10-03 10:39:05.9
Delayed: E = 2.2455, Q = 4552.57, Time = 2025-10-03 10:39:05.9
Prompt: E = 5.0956, Q = 9629.85, Time = 2025-10-03 10:40:31.1
Delayed: E = 2.28677, Q = 4788.36, Time = 2025-10-03 10:40:31.1
Prompt: E = 1.34952, Q = 3111.97, Time = 2025-10-03 10:46:16.4
Delayed: E = 2.28904, Q = 4871.72, Time = 2025-10-03 10:46:16.4
Prompt: E = 4.66658, Q = 9069.02, Time = 2025-10-03 11:18:21.5
Delayed: E = 2.24876, Q = 4681.2, Time = 2025-10-03 11:18:21.5
Prompt: E = 1.52143, Q = 3305.06, Time = 2025-10-03 11:54:42.9
Delayed: E = 2.29242, Q = 4667.73, Time = 2025-10-03 11:54:42.9
Prompt: E = 4.97042, Q = 10212.8, Time = 2025-10-03 12:27:33.3
Delayed: E = 2.25043, Q = 4905.71, Time = 2025-10-03 12:27:33.3
Prompt: E = 1.92743, Q = 4071.39, Time = 2025-10-03 12:55:10.3
Delayed: E = 2.32381, Q = 4699.7, Time = 2025-10-03 12:55:10.3
Prompt: E = 3.27364, Q = 6475.52, Time = 2025-10-03 13:16:45.8
Delayed: E = 2.35034, Q = 4673.81, Time = 2025-10-03 13:16:45.8
Prompt: E = 1.13008, Q = 2580.33, Time = 2025-10-03 13:40:23.1
Delayed: E = 2.21556, Q = 4608.34, Time = 2025-10-03 13:40:23.1
Prompt: E = 3.90251, Q = 7658.29, Time = 2025-10-03 15:21:53.3
Delayed: E = 2.35276, Q = 4849.72, Time = 2025-10-03 15:21:53.3
Prompt: E = 2.68888, Q = 5853.51, Time = 2025-10-03 16:07:08.1
Delayed: E = 2.29637, Q = 5016.71, Time = 2025-10-03 16:07:08.1
Prompt: E = 5.55868, Q = 11622.1, Time = 2025-10-03 19:10:29.9
Delayed: E = 2.13392, Q = 4549.9, Time = 2025-10-03 19:10:29.9
Prompt: E = 3.25523, Q = 6762.57, Time = 2025-10-03 20:24:56.3
Delayed: E = 2.27066, Q = 4961.71, Time = 2025-10-03 20:24:56.3
Prompt: E = 3.73569, Q = 7423.76, Time = 2025-10-03 20:34:24.8
Delayed: E = 2.18271, Q = 4523.63, Time = 2025-10-03 20:34:24.8
Prompt: E = 3.61329, Q = 7010.31, Time = 2025-10-03 21:04:15.6
Delayed: E = 2.25885, Q = 4549.76, Time = 2025-10-03 21:04:15.6
Prompt: E = 1.22488, Q = 2800.18, Time = 2025-10-03 21:23:26.7
Delayed: E = 2.22588, Q = 4543.09, Time = 2025-10-03 21:23:26.7
Prompt: E = 2.94509, Q = 6393.35, Time = 2025-10-03 21:47:12.8
Delayed: E = 2.2676, Q = 4927.86, Time = 2025-10-03 21:47:12.8
Prompt: E = 3.13283, Q = 6485.36, Time = 2025-10-04 00:14:25.6
Delayed: E = 2.26117, Q = 4756.93, Time = 2025-10-04 00:14:25.6
Prompt: E = 4.32289, Q = 8885.64, Time = 2025-10-04 00:55:40.5
Delayed: E = 2.20131, Q = 4645.45, Time = 2025-10-04 00:55:40.5
Prompt: E = 0.945781, Q = 2313.84, Time = 2025-10-04 01:05:33.8
Delayed: E = 2.20602, Q = 4815.31, Time = 2025-10-04 01:05:33.8
Prompt: E = 6.41548, Q = 12862.9, Time = 2025-10-04 02:04:06.7
Delayed: E = 2.27385, Q = 4914.49, Time = 2025-10-04 02:04:06.7
Prompt: E = 4.3066, Q = 8981.15, Time = 2025-10-04 02:21:14.8
Delayed: E = 2.23548, Q = 4886.34, Time = 2025-10-04 02:21:14.8
Prompt: E = 3.46817, Q = 7125.2, Time = 2025-10-04 03:19:43.0
Delayed: E = 2.19389, Q = 4718.52, Time = 2025-10-04 03:19:43.0
Prompt: E = 1.20344, Q = 2795.56, Time = 2025-10-04 03:47:03.0
Delayed: E = 2.17766, Q = 4733.42, Time = 2025-10-04 03:47:03.0
Prompt: E = 6.05397, Q = 11317.5, Time = 2025-10-04 05:28:04.3
Delayed: E = 2.18424, Q = 4563.54, Time = 2025-10-04 05:28:04.3
Prompt: E = 3.92837, Q = 7993.54, Time = 2025-10-04 05:44:43.0
Delayed: E = 2.2184, Q = 4747.5, Time = 2025-10-04 05:44:43.0
Prompt: E = 2.77956, Q = 5380.49, Time = 2025-10-04 06:02:56.7
Delayed: E = 2.21387, Q = 4440.57, Time = 2025-10-04 06:02:56.7
Prompt: E = 4.82799, Q = 9804.15, Time = 2025-10-04 06:18:47.1
Delayed: E = 2.1701, Q = 4591.75, Time = 2025-10-04 06:18:47.1
Prompt: E = 4.81095, Q = 9876.51, Time = 2025-10-04 07:09:43.7
Delayed: E = 2.24024, Q = 4818.07, Time = 2025-10-04 07:09:43.7
Prompt: E = 2.88182, Q = 5956.52, Time = 2025-10-04 10:20:28.4
Delayed: E = 2.18765, Q = 4532.67, Time = 2025-10-04 10:20:28.4
Prompt: E = 4.69208, Q = 9214.88, Time = 2025-10-04 10:29:29.6
Delayed: E = 2.28125, Q = 5026.84, Time = 2025-10-04 10:29:29.6
Prompt: E = 1.2902, Q = 2834.59, Time = 2025-10-04 11:03:10.7
Delayed: E = 2.31314, Q = 4754.47, Time = 2025-10-04 11:03:10.7
Prompt: E = 1.65735, Q = 3394.69, Time = 2025-10-04 11:48:14.8
Delayed: E = 2.20834, Q = 4579.3, Time = 2025-10-04 11:48:14.8
Prompt: E = 4.41063, Q = 9408.18, Time = 2025-10-04 11:50:14.9
Delayed: E = 2.27907, Q = 5061.18, Time = 2025-10-04 11:50:14.9
Prompt: E = 4.72667, Q = 9392.16, Time = 2025-10-04 13:43:27.0
Delayed: E = 2.27717, Q = 4462.86, Time = 2025-10-04 13:43:27.0
Prompt: E = 5.04787, Q = 10403.2, Time = 2025-10-04 14:58:17.9
Delayed: E = 2.23018, Q = 4847.21, Time = 2025-10-04 14:58:17.9
Prompt: E = 1.35629, Q = 3118.19, Time = 2025-10-04 15:21:58.8
Delayed: E = 2.29572, Q = 5045.9, Time = 2025-10-04 15:21:58.8
Prompt: E = 3.0553, Q = 6485.17, Time = 2025-10-04 15:46:31.7
Delayed: E = 2.25891, Q = 4778.28, Time = 2025-10-04 15:46:31.7
Prompt: E = 2.16682, Q = 4579.96, Time = 2025-10-04 17:35:19.2
Delayed: E = 2.29372, Q = 4837.51, Time = 2025-10-04 17:35:19.2
Prompt: E = 2.11144, Q = 4715.3, Time = 2025-10-04 17:43:29.4
Delayed: E = 2.22442, Q = 4325.8, Time = 2025-10-04 17:43:29.4
Prompt: E = 1.71462, Q = 3476.91, Time = 2025-10-04 17:54:55.6
Delayed: E = 2.23724, Q = 4504.4, Time = 2025-10-04 17:54:55.6
Prompt: E = 0.952669, Q = 2200.53, Time = 2025-10-04 17:57:53.2
Delayed: E = 2.17547, Q = 4346.88, Time = 2025-10-04 17:57:53.2
Prompt: E = 4.28472, Q = 8940.08, Time = 2025-10-04 18:02:23.1
Delayed: E = 2.29177, Q = 5055.09, Time = 2025-10-04 18:02:23.1
Prompt: E = 1.56735, Q = 3509.09, Time = 2025-10-04 18:26:02.8
Delayed: E = 2.24585, Q = 4960.67, Time = 2025-10-04 18:26:02.8
Prompt: E = 4.4237, Q = 9088.51, Time = 2025-10-04 18:33:54.5
Delayed: E = 2.27734, Q = 4859.27, Time = 2025-10-04 18:33:54.5
Prompt: E = 2.72908, Q = 5475.85, Time = 2025-10-04 18:40:48.1
Delayed: E = 2.14395, Q = 4483.75, Time = 2025-10-04 18:40:48.1
Prompt: E = 3.52273, Q = 6968.35, Time = 2025-10-04 18:43:53.0
Delayed: E = 2.18163, Q = 4675.67, Time = 2025-10-04 18:43:53.0
Prompt: E = 6.77286, Q = 13181.9, Time = 2025-10-04 19:17:14.3
Delayed: E = 2.23536, Q = 4539.07, Time = 2025-10-04 19:17:14.3
Prompt: E = 3.90733, Q = 8110.3, Time = 2025-10-04 19:18:03.9
Delayed: E = 2.2345, Q = 4840.09, Time = 2025-10-04 19:18:03.9
Prompt: E = 1.1357, Q = 2712.94, Time = 2025-10-04 19:27:12.7
Delayed: E = 2.0648, Q = 4077.52, Time = 2025-10-04 19:27:12.7
Prompt: E = 1.32581, Q = 2906.58, Time = 2025-10-04 19:28:47.8
Delayed: E = 2.21755, Q = 4666.35, Time = 2025-10-04 19:28:47.8
Prompt: E = 5.93929, Q = 11607.4, Time = 2025-10-04 20:09:15.2
Delayed: E = 2.31919, Q = 4863.05, Time = 2025-10-04 20:09:15.2
Prompt: E = 1.23641, Q = 2833.92, Time = 2025-10-04 20:26:00.9
Delayed: E = 2.19329, Q = 4723.9, Time = 2025-10-04 20:26:00.9
Prompt: E = 5.46987, Q = 11451.7, Time = 2025-10-04 21:04:21.1
